时间,新增,总确诊,治愈,死亡
2020.1.28,0,5,0,0
2020.1.29,0,5,0,0
2020.1.30,1,6,0,0
2020.1.31,0,6,0,0
2020.2.01,1,7,0,0
2020.2.02,1,8,0,0
2020.2.03,3,11,1,0
2020.2.04,0,11,1,0
2020.2.05,0,11,1,0
2020.2.06,1,12,1,0
2020.2.07,0,12,1,0
2020.2.08,0,12,1,0
2020.2.09,0,12,1,0
2020.2.10,0,12,1,0
2020.2.11,1,13,1,0
2020.2.12,0,13,3,0
2020.2.13,1,14,3,0
2020.2.14,1,15,3,0
2020.2.15,0,15,3,0
2020.2.16,0,15,3,0
2020.2.17,0,15,3,0
2020.2.18,0,15,3,0
2020.2.19,0,15,3,0
2020.2.20,0,15,3,0
2020.2.21,0,15,3,0
2020.2.22,19,34,3,0
2020.2.23,0,34,3,0
2020.2.24,1,35,3,0
2020.2.25,18,53,3,0
2020.2.26,4,57,3,0
2020.2.27,3,60,3,0
2020.2.28,0,60,3,0
2020.2.29,4,64,3,0
2020.3.01,9,69,3,1
2020.3.02,20,89,3,2
2020.3.03,16,105,3,6
2020.3.04,21,126,3,9
2020.3.05,35,161,8,11
2020.3.06,73,234,8,14
2020.3.07,103,337,10,17
2020.3.08,118,455,10,19
2020.3.09,127,582,10,22
2020.3.10,173,755,10,26
2020.3.11,297,1052,15,31
2020.3.12,269,1329,15,38
2020.3.13,551,1880,31,41
2020.3.14,356,2236,31,49
2020.3.15,697,2943,48,60
2020.3.16,831,3774,73,69
2020.3.17,913,4687,74,93
2020.3.18,1835,6522,106,116
2020.3.19,3737,10259,106,152
2020.3.20,4106,14365,125,212
2020.3.21,5811,20176,147,277
2020.3.22,6680,26856,178,346
2020.3.23,8368,35224,178,471
2020.3.24,11219,46443,314,586
2020.3.25,8799,55242,354,801
2020.3.26,13981,69223,619,1054
2020.3.27,16820,86043,753,1304
2020.3.28,18794,104839,869,1716
2020.3.29,19837,124676,1095,2196
2020.3.30,17954,143071,4856,2513
2020.3.31,22803,165874,5995,3178
2020.4.01,24215,190089,7141,4102
2020.4.02,27174,217263,8710,5151
2020.4.03,28395,245658,9311,6069
2020.4.04,32910,278568,9920,7163
2020.4.05,33913,312481,15021,8503
2020.4.06,25490,337971,17582,9654
2020.4.07,31098,369069,20003,11018
2020.4.08,30910,399979,22539,12912
2020.4.09,32600,432579,24213,14830
2020.4.10,34605,467184,26522,16736
2020.4.11,34517,501701,29192,18781
2020.4.12,29129,530830,32314,20646
2020.4.13,28169,558999,42009,22154
2020.4.14,24221,583220,44319,23654
2020.4.15,26775,609995,50045,26069
2020.4.16,29567,640014,52772,31002
2020.4.17,32165,672293,56243,33325
2020.4.18,28866,706856,60523,37087
2020.4.19,26070,735366,66854,39095
2020.4.20,28088,760570,71011,40702
2020.4.21,25985,788920,73533,42458
2020.4.22,29973,826248,75682,45153
2020.4.23,31900,843981,77064,46859
2020.4.24,38958,871285,80937,50066
2020.4.25,35419,907096,99129,52063
2020.4.26,26509,941628,105823,54024
2020.4.27,23196,967585,107060,54931
2020.4.28,25409,990135,111587,56475
2020.4.29,28429,1015289,115955,58529
2020.4.30,30829,1043595,124294,61187
2020.5.01,36007,1095023,153947,63019
2020.5.02,29744,1131030,161563,65753
2020.5.03,27348,1160774,173318,67444
2020.5.04,24713,1188122,178263,68598
2020.5.05,24798,1212835,188027,69921
2020.5.06,25459,1237633,200626,72271
2020.5.07,29531,1263092,212981,74799
2020.5.08,29162,1292623,217250,76928
2020.5.09,25524,1321785,223603,78615
2020.5.10,20329,1347309,252108,80037
2020.5.11,18196,1367638,256336,80787
2020.5.12,21562,1385834,262225,81795
2020.5.13,21712,1408636,296746,83425
2020.5.14,27246,1430348,310259,85197
2020.5.15,26692,1457593,318027,86912
2020.5.16,23488,1484285,327751,88507
2020.5.17,19891,1507773,339232,90113
2020.5.18,22630,1527664,346389,90978
2020.5.19,20289,1550294,356383,91981
2020.5.20,21408,1570583,361180,93533
2020.5.21,28179,1592723,370076,94936
2020.5.22,24197,1620897,382169,96354
2020.5.23,21929,1644979,433597,97647
2020.5.24,19608,1666828,446914,98683
2020.5.25,19790,1686436,451702,99300
2020.5.26,19049,1706226,464670,99805
2020.5.27,20546,1725275,479969,100572
2020.5.28,22658,1745803,490130,102107
2020.5.29,25069,1768461,510713,103330
2020.5.30,23290,1793530,519569,104542
2020.5.31,20350,1816820,535238,105557
2020.6.01,22153,1837170,599867,106195
2020.6.02,21882,1859323,615416,106925
2020.6.03,20578,1881205,645974,108059
2020.6.04,22268,1901783,688670,109142
2020.6.05,25393,1924051,712252,110173
2020.6.06,22836,1965708,738646,111390
2020.6.07,18905,1988544,751695,112096
2020.6.08,19044,2007449,761708,112469
